lon,lat,jobs
4.75796,45.74525,4.9
4.75779,45.74705,54.7
4.75727,45.75244,96.3
4.75710,45.75423,1.9
4.75693,45.75603,1.9
4.75675,45.75783,1.9
4.75641,45.76142,1.9
4.75623,45.76322,1.9
4.75606,45.76502,83.3
4.75571,45.76861,5.8
4.75554,45.77041,18.7
4.75450,45.78119,5.2
4.75277,45.79915,1.3
4.75225,45.80454,8.7
4.75208,45.80634,27.8
4.75190,45.80814,20.4
4.75173,45.80993,1.3
4.75104,45.81712,7.4
4.75086,45.81892,23.5
4.74947,45.83329,82.1
4.74930,45.83509,12.6
4.74861,45.84227,1.8
4.74843,45.84407,1.8
4.74722,45.85665,8.8
4.74652,45.86383,1.8
4.74617,45.86743,3.5
4.74600,45.86922,46.8
4.74582,45.87102,42.1
4.74565,45.87282,285.7
4.74513,45.87821,50.9
4.77687,45.57467,1.6
4.77670,45.57647,7.9
4.77636,45.58006,1.6
4.77619,45.58186,87.3
4.77602,45.58365,57.3
4.77585,45.58545,11.6
4.77550,45.58905,4.2
4.77533,45.59084,157.2
4.77499,45.59444,37.8
4.77482,45.59623,89.9
4.77464,45.59803,3.2
4.77447,45.59983,1.6
4.77430,45.60162,40.5
4.77396,45.60522,1.8
4.77379,45.60702,64.6
4.76173,45.73280,1.6
4.76139,45.73639,36.8
4.76122,45.73819,27.6
4.76035,45.74717,1.6
4.75983,45.75256,390.9
4.75931,45.75795,193.2
4.75914,45.75975,268.1
4.75897,45.76155,60.1
4.75880,45.76335,1.9
4.75862,45.76514,18.7
4.75810,45.77053,37.4
4.75533,45.79928,6.5
4.75499,45.80287,2.6
4.75481,45.80467,32.6
4.75464,45.80647,158.6
4.75447,45.80826,12.6
4.75412,45.81186,30.0
4.75308,45.82264,1.3
4.75291,45.82443,4.8
4.75204,45.83342,1.3
4.75117,45.84240,6.3
4.74961,45.85857,1.8
4.74943,45.86037,3.5
4.74926,45.86216,1.8
4.74891,45.86576,1.8
4.74857,45.86935,1.8
4.74839,45.87115,53.9
4.74822,45.87294,133.5
4.74804,45.87474,8.8
4.74474,45.90888,6.0
4.77909,45.57839,1.6
4.77754,45.59456,40.5
4.77737,45.59636,1.8
4.77686,45.60175,1.8
4.77669,45.60355,4.7
4.77222,45.65027,13.7
4.76826,45.69160,33.7
4.76809,45.69339,1.5
4.76792,45.69519,65.4
4.76774,45.69699,130.8
4.76757,45.69879,3.9
4.76395,45.73652,470.1
4.76378,45.73832,1.6
4.76360,45.74011,1.6
4.76309,45.74550,1.6
4.76291,45.74730,15.7
4.76222,45.75449,103.4
4.76205,45.75628,7.8
4.76188,45.75808,363.1
4.76170,45.75988,95.6
4.76153,45.76167,66.5
4.76136,45.76347,24.6
4.76119,45.76527,1.9
4.76101,45.76707,11.0
4.76084,45.76886,19.4
4.76015,45.77605,1.6
4.75980,45.77964,3.3
4.75946,45.78324,81.3
4.75928,45.78503,1.6
4.75807,45.79761,14.8
4.75755,45.80300,7.8
4.75686,45.81019,1.3
4.75634,45.81558,30.0
4.75617,45.81737,5.2
4.75547,45.82456,3.5
4.75530,45.82636,3.5
4.75513,45.82815,7.8
4.75270,45.85331,1.8
4.75200,45.86049,7.0
4.75183,45.86229,3.5
4.78164,45.57852,12.1
4.77993,45.59649,8.8
4.77958,45.60008,8.8
4.77941,45.60188,10.6
4.77924,45.60367,13.5
4.77907,45.60547,18.8
4.77890,45.60727,13.5
