# Fréquentation réelle des lignes, pour caler le moteur (scripts/modele/moteur.py).
# voyages_jour : fréquentation d'un jour de semaine ; une valeur annuelle est divisée par 265, comme pour le calage lyonnais d'origine.
# retenue : 1 si la ligne sert au calage, 0 sinon (la remarque dit pourquoi).
# bus : pour les bus, « site propre » (busway, Mettis, BHNS) ou « ligne forte » (Linéo, Chronostar, Lianes, Chronobus, sans site propre continu).
ville,ligne,mode,voyages_jour,valeur,unite,annee,source,retenue,remarque,bus
lille,L99,bhns,2269,2269,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,0,Liane interurbaine,ligne forte
nantes,1,tram,130000,130000,voyageurs par jour,2025,https://www.semitan.fr/fr/actualites/transport-et-vous/le-tramway-nantais-fete-ses-40-ans,1,« près de »,
nantes,4,bhns,35094,9300000,voyages par an,2019,https://web.archive.org/web/20210317103549/https://semitan.tan.fr/les-chiffres-cles,1,busway,site propre
nantes,C1,bhns,22537,22537,voyages par jour de semaine hors vacances,2020,https://web.archive.org/web/20201021131730/https://semitan.tan.fr/medias/fichier/dp-rentree-2020-2021_1602764580119-pdf?INLINE=FALSE (p. 3),1,Chronobus,ligne forte
nantes,C3,bhns,20660,20660,voyages par jour de semaine hors vacances,2019,https://web.archive.org/web/20210416050319/https://semitan.tan.fr/medias/fichier/dp-rentree-2019-2020_1562244310511-pdf?INLINE=FALSE (p. 6),1,Chronobus,ligne forte
nantes,C6,bhns,23116,23116,voyages par jour de semaine hors vacances,2020,https://web.archive.org/web/20201021131730/https://semitan.tan.fr/medias/fichier/dp-rentree-2020-2021_1602764580119-pdf?INLINE=FALSE (p. 3),1,Chronobus,ligne forte
nantes,C20,bhns,15047,15047,voyages par jour de semaine hors vacances,2020,https://web.archive.org/web/20201021131730/https://semitan.tan.fr/medias/fichier/dp-rentree-2020-2021_1602764580119-pdf?INLINE=FALSE (p. 3),0,tracé changé depuis 2020,ligne forte
strasbourg,G,bhns,20000,20000,voyages par jour,2023,https://www.cts-strasbourg.eu/export/sites/default/.galleries/Documents/Rapport-dactivite-et-de-responsabilite-sociale-et-environnementale-de-la-CTS-2023.pdf (p. 9),1,premier mois après le prolongement de novembre 2023,site propre
brest,A,tram,44075,11680000,voyages par an,2023,"https://www.strmtg.developpement-durable.gouv.fr/IMG/pdf/rapport_annuel_tw_2023-2.pdf (tableau 2.1, p. 8)",1,2024 écarté : ligne coupée l'été pour les travaux du tram B,
brest,C,cable,1500,1500,voyages par jour de semaine,2017,https://fr.wikipedia.org/wiki/T%C3%A9l%C3%A9ph%C3%A9rique_de_Brest (cite Le Télégramme),0,"chiffre ancien, téléphérique hors calage",
clermont-ferrand,A,tram,66642,17660000,voyages par an,2024,"https://www.strmtg.developpement-durable.gouv.fr/IMG/pdf/rapport_annuel_tw_2024.pdf (tableau 2.1, p. 8)",1,tram sur pneus ; réseau gratuit le week-end,
caen,T1,tram,26139,26139,montées par jour ouvrable de base,2022,https://data.twisto.fr/api/explore/v2.1/catalog/datasets/matrice-origine-destination-des-lignes-du-reseau-twisto/files/52986189b74d644ad93a94eb8f856ac9,1,enquête origine-destination redressée,
caen,T2,tram,15243,15243,montées par jour ouvrable de base,2022,https://data.twisto.fr/api/explore/v2.1/catalog/datasets/matrice-origine-destination-des-lignes-du-reseau-twisto/files/52986189b74d644ad93a94eb8f856ac9,1,enquête origine-destination redressée,
caen,T3,tram,9111,9111,montées par jour ouvrable de base,2022,https://data.twisto.fr/api/explore/v2.1/catalog/datasets/matrice-origine-destination-des-lignes-du-reseau-twisto/files/52986189b74d644ad93a94eb8f856ac9,0,"ligne alors limitée à Collège Hawking, prolongée depuis",
orleans,A,tram,45353,12018604,voyages par an hors parcs relais,2023,https://tao-mobilites.fr/upload/mentions_legales/Rapport_annuels/RA-KEOLIS-2023-BD-OK.pdf (p. 54),1,validations redressées ; 2024 écarté (fréquence réduite),
orleans,B,tram,28939,7668765,voyages par an hors parcs relais,2023,https://tao-mobilites.fr/upload/mentions_legales/Rapport_annuels/RA-KEOLIS-2023-BD-OK.pdf (p. 54),1,validations redressées ; 2024 écarté (coupure en été),
besancon,T1,tram,20226,5360000,voyages comptés par an,2024,https://datasets.grandbesancon.fr/fichiers/delibs/grandBesancon/conseilCommunautaire/2025/20250925/0000BCFD.PDF (p. 9),1,"déduit des hausses publiées par ligne, recoupé avec le total du tram",
besancon,T2,tram,14453,3830000,voyages comptés par an,2024,https://datasets.grandbesancon.fr/fichiers/delibs/grandBesancon/conseilCommunautaire/2025/20250925/0000BCFD.PDF (p. 9),1,"déduit des hausses publiées par ligne, recoupé avec le total du tram",
mulhouse,1,tram,28963,28963,voyages par jour de semaine scolaire,2025,https://www.m2a.fr/wp-content/uploads/2026/02/2026_02_02_99_DE-2976C-1.pdf (p. 17),1,"cellules de comptage, février et mars",
mulhouse,2,tram,32293,32293,voyages par jour de semaine scolaire,2025,https://www.m2a.fr/wp-content/uploads/2026/02/2026_02_02_99_DE-2976C-1.pdf (p. 17),1,"cellules de comptage, février et mars",
mulhouse,3,tram,3572,3572,voyages par jour de semaine scolaire,2025,https://www.m2a.fr/wp-content/uploads/2026/02/2026_02_02_99_DE-2976C-1.pdf (p. 17),0,"cellules de comptage, février et mars ; ligne qui double les lignes 2 et le tram-train sur presque tout son parcours",
mulhouse,C4,bhns,3435,3435,voyages par jour de semaine scolaire,2025,https://www.m2a.fr/wp-content/uploads/2026/02/2026_02_02_99_DE-2976C-1.pdf (p. 17),1,,site propre
nancy,T1,bhns,33000,33000,validations par jour,2026,https://www.ici.fr/emissions/l-info-d-ici-ici-lorraine-meurthe-et-moselle-et-vosges/un-an-apres-sa-mise-en-service-le-trolleybus-est-entre-dans-le-paysage-de-la-metropole-du-grand-nancy-3842092,1,"trolleybus, « environ », chiffre cité par le maire",site propre
nancy,T2,bhns,13899,3474817,validations par an hors week-ends,2024,https://media.grandnancy.eu/permalink/v1/1/123043/document/RAD2024Sansparties1416172_compressed_postMarque.pdf (p. 150),1,week-ends gratuits : divisé par 250 jours de semaine,site propre
nancy,T3,bhns,8912,2227955,validations par an hors week-ends,2024,https://media.grandnancy.eu/permalink/v1/1/123043/document/RAD2024Sansparties1416172_compressed_postMarque.pdf (p. 150),1,week-ends gratuits : divisé par 250 jours de semaine,site propre
nancy,T4,bhns,8710,2177549,validations par an hors week-ends,2024,https://media.grandnancy.eu/permalink/v1/1/123043/document/RAD2024Sansparties1416172_compressed_postMarque.pdf (p. 150),1,week-ends gratuits : divisé par 250 jours de semaine,site propre
valenciennes,T1+T2,tram,18075,4790000,voyages par an,2024,"https://www.strmtg.developpement-durable.gouv.fr/IMG/pdf/rapport_annuel_tw_2024.pdf (tableau 2.1, p. 8)",0,les deux lignes réunies ; gratuit jusqu'à 25 ans ; gratuit jusqu'à 25 ans (77 % des voyages) : comptage incertain,
avignon,T1,tram,10868,2880000,voyageurs par an,2024,https://www.grandavignon.fr/fr/actualites/record-de-frequentation-des-transports-en-commun-du-grand-avignon-en-2024,1,une validation compte un voyageur,
avignon,C2,bhns,9434,2500000,voyageurs par an,2024,https://www.grandavignon.fr/fr/actualites/record-de-frequentation-des-transports-en-commun-du-grand-avignon-en-2024,1,Chron'hop,site propre
avignon,C3,bhns,5283,1400000,voyageurs par an,2024,https://www.grandavignon.fr/fr/actualites/record-de-frequentation-des-transports-en-commun-du-grand-avignon-en-2024,1,Chron'hop,site propre
le-havre,A+B,tram,41660,11040000,voyages par an,2024,"https://www.strmtg.developpement-durable.gouv.fr/IMG/pdf/rapport_annuel_tw_2024.pdf (tableau 2.1, p. 8)",1,les deux lignes réunies,
metz,A+B,bhns,45000,45000,voyages par jour,2025,https://lequotidien.lu/grande-region/transports-urbains-le-reseau-mettis-victime-de-son-succes-a-metz/,1,"Mettis, les deux lignes réunies, chiffre de presse",site propre
nimes,T1,bhns,6415,1700000,voyages par an,2023,https://www.pss-archi.eu/forum/viewtopic.php?pid=936187 (recopie La Gazette de Nîmes du 3 janvier 2025),1,chiffre de presse recopié sur un forum,site propre
nimes,T2,bhns,10189,2700000,voyages par an,2023,https://www.pss-archi.eu/forum/viewtopic.php?pid=936187 (recopie La Gazette de Nîmes du 3 janvier 2025),1,chiffre de presse recopié sur un forum,site propre
nimes,T4,bhns,3396,900000,voyages par an,2023,https://www.pss-archi.eu/forum/viewtopic.php?pid=936187 (recopie La Gazette de Nîmes du 3 janvier 2025),0,prolongée à Caissargues fin 2025,site propre
pau,F,bhns,7547,2000000,voyages par an,2024,https://fr.wikipedia.org/wiki/Bus_%C3%A0_haut_niveau_de_service_de_Pau (cite Sud Ouest du 9 janvier 2025),1,chiffre de presse,site propre
toulouse,L1,bhns,21538,5707700,validations par an,2025,https://tisseo-collectivites.fr/sites/default/files/media/downloads/TISSEO_Chiffres%20cles_2025_WEB.pdf (p. 58),1,Linéo,ligne forte
toulouse,L2,bhns,11455,3035519,validations par an,2025,https://tisseo-collectivites.fr/sites/default/files/media/downloads/TISSEO_Chiffres%20cles_2025_WEB.pdf (p. 58),1,Linéo,ligne forte
