ville,ligne,mode,nom,reseau,stations,longueur_km,dist_centre_km,part_centre,ville_hab_10k,ville_emp_10k,ville_hab_20k,ville_emp_20k,emplois_centre_1k,lignes_reseau,stations_reseau,hab_300,emp_300,hab_propre_300,emp_propre_300,hab_400,emp_400,hab_propre_400,emp_propre_400,hab_500,emp_500,hab_propre_500,emp_propre_500,hab_600,emp_600,hab_propre_600,emp_propre_600,hab_800,emp_800,hab_propre_800,emp_propre_800,hab_1000,emp_1000,hab_propre_1000,emp_propre_1000,hab_2k,emp_2k,hab_5k,emp_5k,correspondances,stations_correspondance,gares,part_partagee_400
toulouse,L7,bhns,Bus L7: Université Paul Sabatier => Saint-Orens Piscine,Tisséo,35,11.7,4.27,0.0,741943,449392,1112895,553632,50042,3,63,9660,12234,8989,11349,13077,13213,12181,12215,17386,18253,15859,17128,20570,19579,18449,18397,28555,28598,23918,23051,37286,34009,28464,25417,97313,71294,361427,208442,4,3,0,0.136
toulouse,L1,bhns,Bus L1: Gymnase de l'Hers → Sept Deniers - Salvador Dali,Tisséo,40,12.94,0.39,0.325,741943,449392,1112895,553632,50042,3,63,53788,40162,46122,26048,66646,45390,54056,26462,86910,59223,67697,31218,97257,69427,71951,35351,128750,82284,82797,38471,157059,94433,91377,42542,303838,154932,574636,348475,7,6,0,0.404
toulouse,L8,bhns,Bus L8: Gonin → Marengo - SNCF,Tisséo,23,6.55,0.44,0.348,741943,449392,1112895,553632,50042,3,63,36703,28367,31318,18978,50498,40201,40142,21650,61956,48224,47023,25009,75090,57843,54790,29274,98015,69641,65468,33025,118484,81679,70346,36934,231459,134088,497496,267550,7,6,2,0.446
toulouse,L12,bhns,Bus L12: Borderouge => Rangueil,Tisséo,37,12.81,2.17,0.0,741943,449392,1112895,553632,50042,3,63,45983,11785,43169,10702,57763,16443,51836,14363,74037,21194,64259,18114,88156,23472,73456,19505,114809,32452,89895,25998,144778,39039,102466,27748,288918,125434,565342,295847,3,3,1,0.209
toulouse,L2,bhns,Bus L2: Colomiers Lycée International → Arènes,Tisséo,37,12.39,2.38,0.0,741943,449392,1112895,553632,50042,3,63,27086,33216,23742,30637,39006,38528,31804,30851,47649,46353,37201,37608,56074,53260,42116,43482,71893,61392,51014,50009,88281,69795,59780,54596,177930,114675,528166,329439,4,3,4,0.344
toulouse,L5,bhns,Bus L5: Portet Gare SNCF → Empalot,Tisséo,36,11.95,2.32,0.0,741943,449392,1112895,553632,50042,3,63,18181,16787,15536,14982,24200,18865,17998,16488,29612,27415,20970,21055,35967,31907,23531,23620,50268,39749,30240,26448,66411,43624,34557,27590,174136,96921,511526,285923,4,4,1,0.463
toulouse,L3,bhns,Bus L3: Plaisance Monestié → Arènes,Tisséo,28,11.36,2.37,0.0,741943,449392,1112895,553632,50042,3,63,20046,11933,17584,9530,30727,13569,25229,10656,39599,15534,31592,11870,48839,18454,37717,14086,63108,22387,46711,17163,80764,29865,58143,20800,174142,94245,539764,323181,4,3,0,0.32
toulouse,L10,bhns,Bus L10: Fenouillet Centre Commercial - Entrée Nord → La Vache,Tisséo,26,9.21,3.33,0.0,741943,449392,1112895,553632,50042,3,63,17603,6466,16305,6192,25641,7226,23815,6920,32223,8845,29302,8186,37091,10170,33250,9293,50479,13593,43512,11424,59594,18210,49261,14710,121571,42203,422700,221976,1,1,0,0.138
toulouse,L11,bhns,Bus L11: Frouzins Complexe Sportif → Basso Cambo,Tisséo,28,10.72,5.64,0.0,741943,449392,1112895,553632,50042,3,63,15160,16542,15160,15863,22813,18576,22433,16862,28784,21735,27976,17859,33958,22019,32542,14986,43769,30531,40739,21118,57069,37314,50039,24691,113454,57542,316378,191759,1,1,0,0.063
tours,A,tram,Tram A : Jean Monnet → Vaucanson,Fil Bleu,29,13.51,0.22,0.241,303578,159622,411673,185841,25765,1,29,45162,30685,45162,30685,62931,45976,62931,45976,75419,50283,75419,50283,90398,55083,90398,55083,110501,61995,110501,61995,130731,68890,130731,68890,196901,110813,274221,151016,0,0,2,0.0
valenciennes,T2,tram,T2 : Vieux-Condé – Le Boulon → Famars – Université,Transvilles,35,19.78,0.14,0.229,214597,84150,436592,137876,15882,2,63,26398,15191,20018,10194,39813,20770,30471,13422,48466,24309,37031,15231,57091,26815,43000,17117,71663,30636,52726,19171,84051,33132,60834,20339,129550,47786,203959,74342,15,15,2,0.502
valenciennes,T1,tram,T1 : Famars – Université → Denain – Espace Villars,Transvilles,28,17.13,0.17,0.286,214597,84150,436592,137876,15882,2,63,24011,15314,17630,10318,34409,23356,25068,16008,42070,26992,30635,17914,51935,30178,37845,20480,68509,37711,49572,26247,82739,40809,59522,28016,127958,53192,219087,81456,15,15,1,0.558
valenciennes,T1+T2,tram,T2 : Vieux-Condé – Le Boulon → Famars – Université et T1 : Famars – Université → Denain – Espace Villars,Transvilles,48,31.04,0.14,0.167,214597,84150,436592,137876,15882,2,63,35873,19754,35873,19754,55064,28039,55064,28039,67007,33110,67007,33110,80821,37215,80821,37215,101878,45392,101878,45392,120229,48340,120229,48340,172863,62427,271802,89161,0,0,2,0.0
